,3PAr,Age,DRB%,DRtg,Defense Four Factors,FT/FGA,FTr,L,MOV,ORB%,ORtg,Offense Four Factors,PL,PW,Pace,Rk,SOS,SRS,TOV%,TS%,Team,W,eFG%
45,24.1,-1.12,"15,979",.521,37,.197,10.9,-1.29,-1.1,81.2,.263,Detroit Pistons,107.1,106.0,.492,38,95.0,.218,"655,141",.157,44,-0.17,The Palace of Auburn Hills
51,27.2,-1.11,"14,810",.555,31,.212,12.9,-0.64,-1.2,75.9,.249,Minnesota Timberwolves,112.0,110.8,.511,38,94.6,.287,"607,203",.229,44,0.47,Target Center
48,18.5,-2.10,"16,173",.539,34,.177,11.7,-1.69,-2.2,76.8,.308,New Orleans Pelicans,107.4,105.2,.504,35,98.0,.256,"663,099",.192,47,0.41,Smoothie King Center
49,18.1,-2.93,"19,789",.541,33,.218,11.6,-2.53,-3.2,77.6,.366,Dallas Mavericks,108.8,105.6,.505,33,92.2,.225,"811,366",.180,49,0.40,American Airlines Center
51,26.6,-3.67,"19,774",.534,31,.214,12.4,-3.87,-3.8,74.1,.279,New York Knicks,111.5,107.7,.496,31,96.0,.239,"810,741",.188,51,-0.20,Madison Square Garden (IV)
50,21.0,-3.88,"17,608",.556,32,.227,13.7,-3.29,-4.0,76.3,.291,Sacramento Kings,111.3,107.3,.516,31,94.9,.284,"721,928",.220,51,0.58,Golden 1 Center
58,26.0,-5.63,"17,134",.538,24,.264,13.4,-5.14,-5.6,76.4,.255,Phoenix Suns,112.2,106.6,.493,27,100.3,.297,"708,639",.231,55,0.49,Talking Stick Resort Arena
54,22.4,-5.70,"17,331",.539,28,.234,14.9,-5.83,-5.7,75.3,.349,Philadelphia 76ers,108.9,103.2,.501,26,98.5,.258,"710,557",.199,56,-0.14,Wells Fargo Center
62,19.6,-6.73,"15,429",.551,20,.212,14.7,-6.74,-6.6,76.1,.371,Brooklyn Nets,110.7,104.1,.507,24,101.3,.289,"632,608",.228,58,-0.01,Barclays Center
53,21.6,-6.57,"17,753",.524,29,.201,12.1,-6.61,-6.8,77.4,.300,Orlando Magic,110.5,103.7,.489,24,96.8,.246,"727,875",.184,58,-0.04,Amway Center
56,25.0,-6.88,"18,949",.537,26,.213,13.5,-6.29,-7.0,75.8,.295,Los Angeles Lakers,113.0,106.0,.501,24,98.5,.259,"776,917",.195,58,0.58,STAPLES Center
17,21.3,8.48,"17,871",.590,65,.171,12.7,8.21,+8.6,79.9,.502,Houston Rockets *,106.1,114.7,.551,61,97.6,.298,"732,722",.233,21,-0.27,Toyota Center
23,23.0,7.78,"19,840",.575,59,.212,12.1,7.29,+7.9,77.7,.377,Toronto Raptors *,105.9,113.8,.539,60,97.4,.250,"813,431",.198,22,-0.49,Air Canada Centre
24,21.0,5.98,"19,596",.603,58,.186,14.1,5.79,+6.0,76.3,.339,Golden State Warriors *,107.6,113.6,.569,56,99.6,.239,"803,436",.195,26,-0.19,Oracle Arena
34,21.5,4.30,"17,922",.564,48,.190,13.7,4.47,+4.5,79.8,.357,Utah Jazz *,103.9,108.4,.527,53,95.7,.260,"734,806",.202,29,0.17,Vivint Smart Home Arena
30,25.3,4.50,"20,361",.568,52,.218,14.6,4.30,+4.5,78.6,.344,Philadelphia 76ers *,105.0,109.5,.535,53,99.8,.263,"833,503",.198,29,-0.20,Wells Fargo Center
27,21.5,3.59,"18,624",.552,55,.191,13.0,3.23,+3.7,78.4,.357,Boston Celtics *,103.9,107.6,.518,51,96.0,.243,"763,584",.188,31,-0.35,TD Garden
34,27.7,3.41,"18,203",.546,48,.193,12.4,3.42,+3.5,77.4,.345,Oklahoma City Thunder *,107.2,110.7,.514,50,96.7,.275,"746,322",.197,32,0.00,Chesapeake Energy Arena
35,23.7,2.89,"18,404",.543,47,.170,12.2,2.89,+3.1,78.6,.282,San Antonio Spurs *,104.8,107.9,.507,49,95.0,.245,"754,562",.189,33,0.00,AT&T Center
33,23.3,2.60,"19,409",.549,49,.193,12.3,2.60,+2.7,79.1,.324,Portland Trail Blazers *,106.4,109.1,.511,48,96.5,.240,"795,750",.192,34,0.00,Moda Center
35,24.4,2.23,"17,056",.566,47,.189,11.4,2.35,+2.3,76.4,.261,Minnesota Timberwolves *,111.1,113.4,.523,47,96.0,.280,"699,308",.225,35,0.12,Target Center
36,25.7,1.48,"17,141",.570,46,.173,13.4,1.57,+1.5,77.5,.357,Denver Nuggets,111.0,112.5,.536,45,96.8,.258,"702,796",.198,37,0.09,Pepsi Center
34,22.7,1.38,"16,052",.557,48,.174,12.3,1.18,+1.4,76.2,.284,Indiana Pacers *,108.1,109.5,.525,45,96.0,.222,"658,119",.173,37,-0.20,Bankers Life Fieldhouse
34,20.0,1.30,"16,437",.573,48,.175,13.3,1.48,+1.3,76.7,.319,New Orleans Pelicans *,108.3,109.6,.541,44,100.5,.237,"673,920",.183,38,0.18,Smoothie King Center
32,20.1,0.94,"20,562",.584,50,.166,12.6,0.59,+1.0,77.3,.379,Cleveland Cavaliers *,111.9,112.9,.547,43,98.0,.275,"843,042",.214,39,-0.35,Quicken Loans Arena
39,23.5,0.59,"18,032",.560,43,.212,13.3,0.53,+0.6,77.1,.310,Washington Wizards *,108.7,109.3,.525,43,96.6,.254,"739,302",.196,39,-0.06,Capital One Arena
38,21.5,0.48,"19,630",.551,44,.215,13.3,0.15,+0.5,79.0,.358,Miami Heat *,106.3,106.8,.520,42,95.6,.229,"804,850",.173,40,-0.33,AmericanAirlines Arena
46,22.2,0.26,"16,376",.549,36,.165,11.4,0.07,+0.3,80.7,.314,Charlotte Hornets,109.1,109.4,.508,42,98.4,.312,"671,404",.233,40,-0.19,Spectrum Center
40,23.5,0.04,"17,020",.564,42,.203,13.2,0.15,+0.1,76.1,.314,Los Angeles Clippers,110.2,110.3,.527,41,98.7,.299,"697,812",.222,41,0.11,STAPLES Center
43,22.7,-0.15,"17,413",.543,39,.172,12.3,-0.26,-0.1,78.5,.333,Detroit Pistons,107.3,107.2,.512,41,96.2,.227,"713,945",.169,41,-0.11,Little Caesars Arena
38,20.4,-0.30,"16,856",.571,44,.220,12.9,-0.45,-0.3,75.9,.297,Milwaukee Bucks *,110.1,109.8,.531,40,96.2,.281,"685,303",.220,42,-0.15,BMO Harris Bradley Center
47,23.6,-1.55,"18,935",.548,35,.190,13.8,-1.44,-1.5,77.7,.329,Los Angeles Lakers,108.0,106.5,.517,37,100.3,.264,"776,327",.188,45,0.11,STAPLES Center
58,18.0,-3.04,"19,792",.544,24,.193,11.6,-2.70,-3.2,78.9,.382,Dallas Mavericks,109.5,106.3,.513,33,95.6,.217,"811,453",.166,49,0.34,American Airlines Center
53,24.1,-3.56,"19,332",.544,29,.208,13.3,-3.53,-3.6,76.7,.266,New York Knicks,110.7,107.1,.510,32,96.8,.216,"792,608",.170,50,0.03,Madison Square Garden (IV)
54,21.0,-3.74,"15,376",.551,28,.201,13.6,-3.67,-3.7,77.0,.411,Brooklyn Nets,110.6,106.9,.514,31,98.9,.260,"640,010",.201,51,0.07,Barclays Center
57,20.0,-4.82,"17,915",.545,25,.187,13.3,-4.92,-4.9,75.6,.342,Orlando Magic,110.1,105.2,.512,28,98.1,.238,"734,531",.180,54,-0.10,Amway Center
58,21.1,-5.45,"14,409",.547,24,.183,14.1,-5.30,-5.6,76.2,.363,Atlanta Hawks,110.6,105.0,.512,27,98.3,.236,"590,769",.185,55,0.15,Philips Arena
60,22.4,-6.21,"15,948",.539,22,.256,14.0,-5.81,-6.5,76.5,.317,Memphis Grizzlies,111.0,104.5,.500,25,94.9,.255,"653,863",.201,57,0.39,FedEx Forum
55,20.6,-7.04,"20,776",.529,27,.184,12.6,-6.84,-7.1,80.6,.350,Chicago Bulls,110.9,103.8,.497,23,98.3,.216,"851,824",.164,59,0.20,United Center
55,21.5,-6.99,"17,431",.529,27,.199,12.8,-6.60,-7.4,77.6,.278,Sacramento Kings,111.1,103.7,.502,23,94.9,.194,"714,680",.143,59,0.39,Golden 1 Center
61,22.5,-9.37,"16,843",.532,21,.212,13.9,-8.80,-9.3,76.5,.320,Phoenix Suns,112.8,103.5,.495,19,100.3,.275,"690,576",.203,63,0.57,Talking Stick Resort Arena
22,20.8,8.87,"17,602",.583,60,.162,12.0,8.04,+8.6,80.3,.419,Milwaukee Bucks *,105.2,113.8,.550,61,103.3,.255,"721,692",.197,21,-0.82,Fiserv Forum
25,22.5,6.46,"19,596",.596,57,.205,12.6,6.42,+6.4,77.1,.384,Golden State Warriors *,109.5,115.9,.565,56,100.9,.227,"803,436",.182,26,-0.04,Oracle Arena
24,21.9,6.09,"19,825",.579,58,.190,12.4,5.49,+6.0,77.1,.379,Toronto Raptors *,107.1,113.1,.543,56,100.2,.247,"812,822",.198,26,-0.60,Scotiabank Arena
32,22.9,5.26,"18,306",.572,50,.189,13.4,5.28,+5.2,80.3,.394,Utah Jazz *,105.7,110.9,.538,54,100.3,.295,"750,546",.217,28,0.03,Vivint Smart Home Arena
29,22.8,4.77,"18,058",.581,53,.210,12.0,4.96,+4.8,74.4,.519,Houston Rockets *,110.7,115.5,.542,53,97.9,.279,"740,392",.221,29,0.19,Toyota Center
33,21.6,4.44,"18,624",.567,49,.198,11.5,3.90,+4.4,77.0,.381,Boston Celtics *,107.8,112.2,.534,52,99.6,.215,"763,584",.173,30,-0.54,TD Garden
29,26.6,4.20,"19,496",.568,53,.195,12.1,4.43,+4.2,77.9,.339,Portland Trail Blazers *,110.5,114.7,.528,51,99.1,.258,"799,345",.210,31,0.24,Moda Center
28,26.6,3.95,"18,450",.558,54,.194,11.9,4.19,+4.1,78.0,.348,Denver Nuggets *,108.9,113.0,.527,51,97.7,.232,"756,457",.175,31,0.24,Pepsi Center
34,21.9,3.33,"16,812",.561,48,.184,12.4,2.76,+3.4,76.2,.292,Indiana Pacers *,106.5,109.9,.530,50,98.1,.242,"689,310",.182,32,-0.57,Bankers Life Fieldhouse
33,26.0,3.40,"18,203",.545,49,.206,11.7,3.56,+3.3,78.2,.347,Oklahoma City Thunder *,107.0,110.3,.514,50,102.8,.266,"746,323",.190,32,0.15,Chesapeake Energy Arena
31,24.5,2.70,"20,447",.574,51,.206,12.9,2.25,+2.6,78.6,.342,Philadelphia 76ers *,110.0,112.6,.532,48,101.6,.312,"838,342",.241,34,-0.44,Wells Fargo Center
34,21.0,1.68,"18,308",.572,48,.170,11.0,1.80,+1.7,79.4,.286,San Antonio Spurs *,111.2,112.9,.534,45,98.3,.237,"750,616",.194,37,0.12,AT&T Center
34,22.0,0.85,"17,325",.575,48,.224,12.7,1.09,+0.9,76.0,.295,Los Angeles Clippers *,111.5,112.4,.529,43,101.7,.326,"710,327",.258,39,0.23,STAPLES Center
40,22.0,0.71,"17,431",.550,42,.186,11.9,0.28,+0.8,79.7,.360,Orlando Magic *,108.1,108.9,.518,43,98.1,.216,"720,024",.168,39,-0.43,Amway Center
40,23.8,-0.07,"14,941",.556,42,.190,13.0,-0.40,-0.1,76.4,.403,Brooklyn Nets *,109.7,109.6,.520,41,100.8,.284,"612,597",.211,41,-0.33,Barclays Center
41,24.8,-0.24,"16,487",.544,41,.211,12.3,-0.56,-0.2,78.7,.394,Detroit Pistons *,109.2,109.0,.509,40,97.4,.262,"675,963",.195,42,-0.31,Little Caesars Arena
43,24.8,-0.23,"19,641",.542,39,.201,13.1,-0.45,-0.3,77.6,.368,Miami Heat,107.6,107.3,.515,40,98.2,.247,"805,264",.172,42,-0.22,AmericanAirlines Arena
43,23.1,-1.12,"17,097",.554,39,.207,11.5,-0.81,-1.1,75.5,.321,Sacramento Kings,111.5,110.4,.524,38,103.1,.244,"700,975",.177,44,0.31,Golden 1 Center
43,21.7,-1.10,"16,502",.554,39,.179,10.9,-1.32,-1.1,77.1,.378,Charlotte Hornets,112.5,111.4,.514,38,98.7,.257,"676,570",.205,44,-0.22,Spectrum Center
49,24.1,-1.33,"16,004",.563,33,.193,12.6,-1.10,-1.2,76.8,.324,New Orleans Pelicans,112.6,111.4,.529,38,103.3,.254,"656,183",.193,44,0.23,Smoothie King Center
49,22.7,-1.28,"20,014",.555,33,.191,12.7,-0.87,-1.3,77.5,.422,Dallas Mavericks,110.7,109.4,.519,38,99.0,.291,"820,569",.216,44,0.42,American Airlines Center
46,24.6,-1.50,"15,306",.552,36,.190,11.4,-1.02,-1.5,74.9,.315,Minnesota Timberwolves,112.9,111.4,.511,37,100.2,.267,"627,543",.210,45,0.48,Target Center
45,22.2,-1.72,"18,997",.554,37,.192,13.4,-1.33,-1.7,76.4,.342,Los Angeles Lakers,109.5,107.8,.527,37,103.2,.257,"778,877",.180,45,0.39,STAPLES Center
49,20.0,-2.60,"15,569",.548,33,.232,12.9,-2.08,-2.7,77.6,.342,Memphis Grizzlies,108.8,106.1,.508,34,96.6,.272,"638,332",.210,48,0.51,FedEx Forum
50,21.3,-2.90,"17,448",.567,32,.199,12.3,-3.30,-2.8,74.1,.370,Washington Wizards,113.9,111.1,.531,34,101.4,.266,"716,996",.204,48,-0.40,Capital One Arena
53,24.7,-6.02,"15,328",.555,29,.237,14.3,-6.06,-5.8,76.4,.403,Atlanta Hawks,113.9,108.1,.522,27,103.9,.255,"628,440",.192,55,-0.04,State Farm Arena
60,19.4,-8.41,"20,085",.541,22,.188,12.7,-8.32,-8.4,77.3,.295,Chicago Bulls,113.2,104.8,.505,21,99.0,.235,"823,475",.184,61,0.10,United Center
65,22.1,-9.21,"19,002",.529,17,.203,12.4,-8.93,-9.2,76.1,.334,New York Knicks,113.7,104.5,.490,19,99.6,.270,"779,087",.205,63,0.28,Madison Square Garden (IV)
63,20.5,-9.34,"15,293",.552,19,.236,13.8,-8.61,-9.2,72.5,.335,Phoenix Suns,115.1,105.9,.514,19,100.5,.259,"627,023",.202,63,0.73,Talking Stick Resort Arena
63,23.7,-9.61,"19,350",.540,19,.181,12.2,-9.39,-9.9,77.0,.332,Cleveland Cavaliers,117.6,107.7,.503,19,96.6,.236,"793,337",.187,63,0.22,Quicken Loans Arena
17,20.7,10.08,"17,711",.583,56,.178,12.9,9.41,+9.5,81.6,.428,Milwaukee Bucks *,102.9,112.4,.552,57,105.1,.271,"549,036",.201,16,-0.67,Fiserv Forum
24,23.9,6.31,"19,090",.570,48,.215,12.2,5.83,+6.3,77.4,.386,Boston Celtics *,107.0,113.3,.531,50,99.5,.259,"610,864",.207,22,-0.47,TD Garden
23,23.5,6.44,"19,068",.577,49,.206,12.6,6.66,+6.3,77.6,.375,Los Angeles Clippers *,107.6,113.9,.535,50,101.5,.295,"610,176",.233,22,0.21,STAPLES Center
19,21.3,6.24,"19,796",.574,53,.202,13.1,5.97,+6.1,76.7,.421,Toronto Raptors *,105.0,111.1,.536,50,100.9,.264,"633,456",.210,22,-0.26,Scotiabank Arena
19,24.5,5.79,"18,997",.573,52,.205,13.3,6.28,+5.7,78.8,.358,Los Angeles Lakers *,106.3,112.0,.542,48,100.9,.276,"588,907",.201,23,0.49,STAPLES Center
32,23.2,4.95,"20,062",.581,43,.175,11.2,4.87,+5.0,77.7,.457,Dallas Mavericks *,111.7,116.7,.545,49,99.3,.264,"682,096",.206,26,-0.07,American Airlines Center
29,20.3,2.95,"19,680",.587,44,.213,13.5,2.59,+3.0,79.5,.419,Miami Heat *,109.5,112.5,.547,43,98.3,.299,"629,771",.234,30,-0.35,AmericanAirlines Arena
28,21.0,2.96,"18,077",.578,44,.197,12.6,3.13,+2.8,75.6,.501,Houston Rockets *,110.1,112.9,.537,42,103.7,.288,"578,458",.228,30,0.17,Toyota Center
28,21.6,2.47,"18,306",.585,44,.185,13.7,2.52,+2.4,78.9,.414,Utah Jazz *,109.9,112.3,.549,42,98.6,.268,"567,486",.208,30,0.05,Vivint Smart Home Arena
30,23.9,2.38,"20,629",.566,43,.214,12.7,2.25,+2.3,80.3,.360,Philadelphia 76ers *,109.0,111.3,.534,42,99.0,.255,"639,491",.193,31,-0.13,Wells Fargo Center
27,24.8,2.11,"19,186",.567,46,.198,12.3,2.35,+2.1,76.8,.344,Denver Nuggets *,111.0,113.1,.535,41,97.1,.235,"633,153",.183,32,0.24,Pepsi Center
28,20.0,1.96,"16,531",.565,45,.192,12.0,1.63,+2.0,76.7,.317,Indiana Pacers *,108.0,110.0,.534,41,98.9,.216,"529,002",.170,32,-0.33,Bankers Life Fieldhouse
28,19.3,1.99,"18,203",.573,44,.173,12.4,2.33,+2.0,76.8,.353,Oklahoma City Thunder *,108.8,110.8,.530,41,98.8,.290,"600,699",.231,31,0.34,Chesapeake Energy Arena
39,22.2,0.22,"15,606",.576,34,.221,13.0,0.56,+0.3,78.8,.361,Phoenix Suns,111.4,111.7,.532,37,101.3,.271,"550,633",.226,36,0.35,Talking Stick Resort Arena
37,23.2,-0.57,"16,403",.554,35,.187,13.1,-1.01,-0.6,77.8,.423,Brooklyn Nets *,109.5,108.9,.520,35,101.4,.267,"524,907",.199,37,-0.44,Barclays Center
40,22.3,-1.01,"17,093",.544,33,.176,11.5,-0.93,-1.0,79.1,.364,Orlando Magic *,109.5,108.5,.506,34,98.6,.256,"529,870",.198,39,0.09,Amway Center
39,20.1,-1.11,"18,351",.572,32,.193,11.2,-0.65,-1.1,79.2,.318,San Antonio Spurs,113.5,112.4,.531,33,100.5,.262,"550,515",.212,38,0.46,AT&T Center
39,23.0,-1.07,"15,857",.561,34,.217,13.2,-0.91,-1.1,77.8,.346,Memphis Grizzlies,110.3,109.2,.528,34,102.8,.240,"523,297",.183,39,0.16,FedEx Forum
39,22.4,-1.15,"19,634",.570,35,.208,11.2,-0.61,-1.1,75.3,.374,Portland Trail Blazers *,114.8,113.7,.533,34,100.7,.242,"628,303",.194,40,0.54,Moda Center
42,24.2,-1.29,"16,505",.568,30,.212,13.9,-0.55,-1.2,77.8,.403,New Orleans Pelicans,111.9,110.7,.539,33,103.7,.256,"528,172",.186,39,0.74,Smoothie King Center
41,21.9,-2.04,"16,796",.566,31,.225,13.0,-1.59,-2.0,78.4,.395,Sacramento Kings,112.2,110.2,.534,31,98.9,.230,"520,663",.177,41,0.46,Golden 1 Center
43,22.8,-3.08,"18,804",.547,22,.239,13.7,-4.00,-3.1,75.6,.396,Chicago Bulls,109.8,106.7,.515,26,99.7,.231,"639,352",.175,39,-0.93,United Center
46,22.6,-3.56,"15,294",.561,20,.186,13.8,-4.38,-3.7,75.9,.381,Detroit Pistons,112.7,109.0,.529,26,97.6,.261,"509,469",.194,40,-0.82,Little Caesars Arena
45,22.1,-4.30,"15,066",.551,19,.218,13.0,-4.02,-4.1,77.2,.433,Minnesota Timberwolves,112.2,108.1,.514,24,103.4,.277,"482,112",.209,40,0.28,Target Center
47,22.2,-4.67,"16,647",.562,25,.231,12.2,-5.24,-4.6,75.3,.358,Washington Wizards,115.5,110.9,.523,26,102.7,.270,"532,702",.213,46,-0.57,Capital One Arena
45,25.8,-6.45,"18,812",.531,21,.224,12.6,-6.72,-6.5,78.3,.318,New York Knicks,113.0,106.5,.501,20,98.6,.263,"620,789",.182,46,-0.26,Madison Square Garden (IV)
42,23.9,-6.75,"15,428",.539,23,.159,13.3,-7.03,-7.0,74.4,.399,Charlotte Hornets,113.3,106.3,.504,19,95.8,.252,"478,591",.188,46,-0.28,Spectrum Center
47,21.6,-7.97,"16,043",.554,20,.233,13.8,-7.71,-7.6,74.9,.398,Atlanta Hawks,114.8,107.2,.515,18,103.0,.258,"545,453",.204,49,0.27,State Farm Arena
46,24.6,-7.89,"17,861",.553,19,.164,14.6,-7.77,-7.9,77.4,.362,Cleveland Cavaliers,115.4,107.5,.522,18,98.7,.227,"643,008",.172,47,0.12,Rocket Mortgage Fieldhouse
50,21.5,-8.71,"18,064",.540,15,.193,13.2,-8.12,-8.6,76.4,.355,Golden State Warriors,113.8,105.2,.497,16,100.3,.264,"614,176",.212,49,0.59,Chase Center
20,24.5,9.25,"4,203",.597,52,.159,12.7,8.97,+9.3,79.3,.488,Utah Jazz *,108.3,117.6,.563,55,98.5,.244,"151,300",.195,17,-0.29,Vivint Smart Home Arena
25,22.7,6.18,386,.599,47,.186,12.2,6.02,+6.4,79.1,.400,Los Angeles Clippers *,111.2,117.6,.564,49,96.9,.222,"13,901",.186,23,-0.16,STAPLES Center
21,20.8,5.82,"2,890",.597,51,.194,11.5,5.67,+5.9,78.5,.392,Phoenix Suns *,111.3,117.2,.564,49,97.2,.212,"104,027",.177,23,-0.15,Phoenix Suns Arena
26,23.3,5.89,"1,799",.593,46,.157,12.0,5.57,+5.8,79.7,.404,Milwaukee Bucks *,111.4,117.2,.566,48,102.2,.233,"64,780",.177,24,-0.32,Fiserv Forum
23,23.2,5.58,"1,905",.579,49,.200,12.8,5.28,+5.6,78.2,.347,Philadelphia 76ers *,107.6,113.2,.541,48,99.5,.293,"68,583",.225,24,-0.31,Wells Fargo Center
25,24.7,4.93,"1,516",.588,47,.200,12.1,4.82,+5.0,78.9,.383,Denver Nuggets *,112.1,117.1,.557,47,97.1,.219,"54,563",.176,25,-0.11,Ball Arena
24,21.4,4.50,847,.610,48,.187,12.2,4.24,+4.5,77.3,.413,Brooklyn Nets *,113.8,118.3,.575,46,99.5,.258,"30,491",.208,26,-0.27,Barclays Center
30,22.5,2.79,648,.569,42,.184,13.6,2.77,+2.8,79.7,.363,Los Angeles Lakers *,107.1,109.9,.536,42,98.7,.271,"23,313",.200,30,-0.03,STAPLES Center
30,21.1,2.26,"2,635",.582,42,.197,11.1,2.26,+2.4,77.8,.436,Dallas Mavericks *,113.0,115.4,.550,41,97.3,.242,"94,849",.189,31,-0.01,American Airlines Center
31,21.9,2.31,"1,170",.559,41,.196,11.9,2.13,+2.4,78.6,.347,New York Knicks *,108.2,110.6,.524,41,95.9,.242,"42,131",.190,31,-0.18,Madison Square Garden (IV)
31,24.4,2.32,"1,647",.581,41,.190,11.9,2.14,+2.4,77.8,.382,Atlanta Hawks *,113.3,115.7,.539,41,97.6,.278,"59,288",.226,31,-0.18,State Farm Arena
30,23.0,1.79,162,.577,42,.203,9.9,1.81,+1.8,77.5,.448,Portland Trail Blazers *,116.0,117.8,.540,40,98.4,.238,"5,817",.195,32,0.01,Moda Center
36,24.3,1.46,835,.574,36,.215,12.5,1.32,+1.5,78.1,.409,Boston Celtics *,112.5,114.0,.543,39,98.3,.234,"30,067",.181,33,-0.14,TD Garden
33,17.9,1.06,929,.583,39,.223,13.3,1.10,+1.0,76.6,.439,Golden State Warriors,110.1,111.1,.551,38,102.2,.239,"33,457",.188,34,0.04,Chase Center
34,24.2,1.03,"1,707",.560,38,.196,11.6,1.07,+1.0,78.3,.342,Memphis Grizzlies *,111.0,112.0,.528,38,100.4,.232,"61,449",.179,34,0.04,FedEx Forum
